cell_id,name_en,lat,lon,URM1,pop_URM1,val_URM1,URM2,pop_URM2,val_URM2,CM,pop_CM,val_CM,RM-L,pop_RM-L,val_RM-L,RM-M,pop_RM-M,val_RM-M,RC1,pop_RC1,val_RC1,RC2,pop_RC2,val_RC2,RC3,pop_RC3,val_RC3,RC4,pop_RC4,val_RC4,RCPC1,pop_RCPC1,val_RCPC1,RCPC2,pop_RCPC2,val_RCPC2,ADO,pop_ADO,val_ADO,WOOD1,pop_WOOD1,val_WOOD1,WOOD2,pop_WOOD2,val_WOOD2,STEEL,pop_STEEL,val_STEEL,OTH,pop_OTH,val_OTH,bdg_tot,pop_tot,val_tot
827,test,42.144169,56.711558,39,148,2523573,0,0,0,0,0,0,113,587,10124122,14,1456,5336002,0,0,0,0,0,0,0,0,0,0,0,0,2,304,3416286,0,0,0,472,2454,2949056,1,5,50803,0,0,0,0,0,0,0,0,0,641,4954,24399842
828,test,42.799008,58.260945,14,53,905898,0,0,0,0,0,0,92,478,8242648,10,1040,3811430,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,358,1861,2236784,0,0,0,0,0,0,0,0,0,0,0,0,475,3584,16904903
829,test,42.954720,62.174340,35,133,2264745,0,0,0,0,0,0,15,78,1343910,10,1040,3811430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,1632,1961872,0,0,0,0,0,0,0,0,0,0,0,0,374,2883,9381957
830,test,41.355981,61.789474,11,41,711777,0,0,0,3,228,3689061,6,31,537564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,296,356136,0,0,0,0,0,0,0,0,0,0,0,0,77,596,5294538
831,test,42.470380,58.267189,5,19,323535,0,0,0,0,0,0,20,104,1791880,3,312,1143429,0,0,0,0,0,0,0,0,0,0,0,0,3,456,5124429,0,0,0,281,1461,1755688,0,0,0,0,0,0,0,0,0,0,0,0,312,2352,10138961
832,test,42.620213,59.523356,164,623,10611948,0,0,0,0,0,0,66,343,5913204,58,6032,22106294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1864,9692,11646272,0,0,0,0,0,0,0,0,0,0,0,0,2152,16690,50277718
833,test,41.488943,61.680005,31,117,2005917,0,0,0,0,0,0,60,312,5375640,12,1248,4573716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,1851,2224288,0,0,0,0,0,0,0,0,0,0,0,0,459,3528,14179561
834,test,43.716735,58.231785,144,547,9317808,0,0,0,0,0,0,3,15,268782,21,2184,8004003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,537,2792,3355176,12,62,609636,0,0,0,0,0,0,0,0,0,717,5600,21555405
835,test,43.990025,57.164558,124,471,8023668,0,0,0,0,0,0,114,592,10213716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1976,22205859,0,0,0,457,2376,2855336,0,0,0,0,0,0,0,0,0,0,0,0,708,5415,43298579
836,test,42.289908,61.642590,28,106,1811796,0,0,0,0,0,0,44,228,3942136,12,1248,4573716,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,415,2158,2592920,0,0,0,0,0,0,0,0,0,0,0,0,500,3892,14628711
