cell_id,name_en,lat,lon,URM1,pop_URM1,val_URM1,URM2,pop_URM2,val_URM2,CM,pop_CM,val_CM,RM-L,pop_RM-L,val_RM-L,RM-M,pop_RM-M,val_RM-M,RC1,pop_RC1,val_RC1,RC2,pop_RC2,val_RC2,RC3,pop_RC3,val_RC3,RC4,pop_RC4,val_RC4,RCPC1,pop_RCPC1,val_RCPC1,RCPC2,pop_RCPC2,val_RCPC2,ADO,pop_ADO,val_ADO,WOOD1,pop_WOOD1,val_WOOD1,WOOD2,pop_WOOD2,val_WOOD2,STEEL,pop_STEEL,val_STEEL,OTH,pop_OTH,val_OTH,bdg_tot,pop_tot,val_tot
85,test,39.065524,73.406578,1,3,64707,0,0,0,0,0,0,2,10,179188,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,124,149952,0,0,0,0,0,0,0,0,0,0,0,0,28,241,774990
86,test,38.513267,73.485773,1,3,64707,0,0,0,1,76,1229687,2,10,179188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,182,218680,0,0,0,0,0,0,0,0,0,0,0,0,39,271,1692262
87,test,37.034549,71.565621,49,186,3170643,0,0,0,0,0,0,72,374,6450768,4,416,1524572,0,0,0,0,0,0,0,0,0,0,0,0,13,1976,22205859,0,0,0,715,3718,4467320,0,0,0,0,0,0,0,0,0,0,0,0,853,6670,37819162
88,test,38.433390,72.788517,11,41,711777,0,0,0,0,0,0,5,26,447970,2,208,762286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,275,331144,0,0,0,0,0,0,0,0,0,0,0,0,71,550,2253177
89,test,37.527367,72.785643,57,216,3688299,0,0,0,0,0,0,73,379,6540362,13,1352,4954859,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,359,1866,2243032,0,0,0,0,0,0,0,0,0,0,0,0,503,3965,19134695
90,test,37.454343,71.574406,63,239,4076541,0,0,0,0,0,0,5,26,447970,23,2392,8766289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,791,4113,4942168,0,0,0,24,124,4348536,0,0,0,0,0,0,906,6894,22581504
91,test,38.172077,72.883496,1,3,64707,0,0,0,0,0,0,4,20,358376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,152,1708143,0,0,0,24,124,149952,0,0,0,0,0,0,0,0,0,0,0,0,30,299,2281178
92,test,37.186283,72.063738,62,235,4011834,0,0,0,0,0,0,92,478,8242648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1520,17081430,0,0,0,396,2059,2474208,0,0,0,0,0,0,0,0,0,0,0,0,560,4292,31810120
93,test,38.510755,73.764644,2,7,129414,0,0,0,0,0,0,11,57,985534,1,104,381143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,140,168696,0,0,0,0,0,0,0,0,0,0,0,0,41,308,1664787
94,test,38.189064,71.489689,217,824,14041419,0,0,0,0,0,0,1,5,89594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1824,20497716,0,0,0,390,2028,2436720,0,0,0,0,0,0,0,0,0,0,0,0,620,4681,37065449
